Wavelength,Ar I,Ar II,Ar III
224.2321,,,1.263e-4
224.87513,,,9.604e-5
228.22221,,,2.727e-4
229.718,,,9.064e-5
231.774598,,1.387e-9,
234.519667,,,4.892e-4
248.41053,,,4.896e-4
249.99661,,,3.243e-5
250.89084,,,3.273e-4
253.39011,,,2.408e-4
263.18633,,,1.935e-4
263.23751,,,6.537e-5
266.01862,,,6.620e-5
267.78246,,,6.168e-5
267.83544,,,2.913e-4
272.4788,,,4.936e-4
274.38524,,,6.104e-5
294.289308,,5.284e-9,
297.905007,,2.033e-9,
300.044527,,1.138e-8,
302.39806,,,2.289e-3
302.70864,,,4.022e-4
302.891399,,1.728e-8,
303.350811,,9.576e-10,
303.68767,,,2.635e-5
305.4775,,,1.183e-3
306.4745,,,3.729e-4
307.81323,,,5.198e-4
309.340173,,4.865e-8,
313.901722,,6.078e-9,
316.137289,,1.296e-8,
316.966803,,5.672e-9,
318.103714,,2.860e-9,
319.423023,,1.850e-9,
320.432086,,2.916e-9,
323.681049,,3.753e-9,
324.368806,,4.017e-9,
324.979976,,4.766e-9,
326.357059,,1.170e-9,
327.331709,,1.331e-9,
328.170092,,1.579e-9,
328.58413,,,2.516e-3
329.364009,,1.206e-8,
330.18546,,,1.792e-3
330.722825,,1.211e-8,
331.12423,,,1.073e-3
333.617463,,,2.430e-3
334.475673,,,1.700e-3
335.092386,,1.392e-8,
335.211793,,,2.073e-4
335.853046,,,1.077e-3
336.130589,,,2.017e-4
336.552028,,1.201e-9,
336.657996,,1.434e-9,
337.643578,,1.844e-8,
337.957698,,1.969e-9,
338.853072,,1.310e-8,
339.18445,,,1.025e-4
341.445796,,7.061e-10,
342.161032,,9.972e-10,
342.42283,,,3.216e-5
342.961434,,2.008e-9,
343.041507,,8.850e-10,
343.80172,,,3.299e-5
345.409498,,2.305e-9,
346.412673,,3.885e-9,
347.256675,,,1.844e-4
347.674711,,1.371e-8,
348.050191,,,1.472e-3
349.124373,,1.300e-8,
349.15356,,3.368e-8,
349.8248,,,2.487e-5
349.8319,,,2.525e-5
349.966922,,,5.113e-4
350.057415,,,1.704e-4
350.268291,,,1.690e-4
350.35894,,,7.858e-4
350.977794,,9.188e-9,
351.166713,,,1.699e-4
351.438733,,1.475e-8,
351.999331,,5.475e-9,
352.12599,,3.203e-9,
353.531929,,4.088e-9,
354.559516,,3.488e-8,
354.584315,,4.654e-8,
354.851395,,6.038e-9,
355.95078,,3.962e-8,
356.103016,,5.940e-8,
356.219111,,1.782e-9,
356.502938,,3.793e-9,
357.661538,,3.821e-8,
358.160797,,1.210e-8,
358.235434,,2.617e-8,
358.844021,,5.280e-8,
362.213719,,2.269e-9,
363.983244,,1.204e-8,
365.088923,,8.427e-10,
365.527776,,2.289e-9,
365.60494,,7.704e-10,
366.043646,,1.257e-8,
367.100424,,2.024e-9,
367.826948,,1.762e-9,
368.00605,,6.781e-9,
371.717101,,6.952e-10,
371.820606,,1.673e-8,
372.042586,,1.184e-9,
372.451602,,2.839e-9,
372.93081,,4.337e-9,
373.78889,,2.554e-8,
376.350501,,1.803e-9,
376.526969,,1.020e-8,
377.051925,,2.818e-9,
378.083953,,1.037e-8,
379.659302,,2.062e-9,
379.938187,,1.135e-9,
380.317205,,1.235e-8,
380.945576,,4.525e-9,
382.567243,,4.155e-9,
382.680692,,2.799e-9,
384.151838,,8.855e-10,
385.058079,,3.387e-9,
386.852819,,1.328e-8,
387.213701,,9.823e-10,
388.033288,,7.561e-10,
390.062636,,7.037e-10,
392.571849,,7.804e-9,
392.862282,,2.093e-9,
393.254638,,5.815e-9,
394.609692,,1.165e-8,
395.272882,,1.296e-9,
397.935543,,3.039e-9,
399.479193,,4.579e-9,
401.38561,,1.848e-9,
403.380915,,3.120e-9,
404.289342,,2.905e-9,
405.292057,,3.796e-9,
407.200431,,6.178e-9,
407.662819,,2.520e-9,
407.694294,,3.081e-9,
407.957339,,8.439e-10,
410.383222,,8.122e-9,
410.391181,,1.146e-8,
413.172327,,2.996e-9,
415.608541,,2.432e-9,
415.8591,6.181e-16,,
417.929704,,1.219e-9,
419.8317,2.237e-16,,
420.0675,5.953e-16,,
421.86648,,2.188e-9,
422.263701,,2.074e-9,
422.698745,,3.184e-9,
422.815775,,1.612e-9,
423.721956,,7.756e-10,
425.9362,3.360e-16,,
426.652661,,2.026e-9,
427.515959,,1.559e-9,
427.752786,,5.488e-9,
433.119915,,4.628e-9,
433.202953,,7.979e-10,
433.3561,2.377e-16,,
433.707046,,1.716e-9,
434.806354,,1.903e-8,
435.220472,,8.769e-10,
437.075295,,4.369e-9,
437.132854,,1.828e-9,
437.595402,,7.889e-10,
437.966649,,3.990e-9,
440.009637,,1.315e-9,
440.098598,,3.761e-9,
441.290323,,8.283e-10,
442.60008,,9.729e-9,
443.018862,,4.485e-9,
443.099589,,1.340e-9,
444.887916,,4.796e-9,
447.475916,,9.437e-10,
448.181045,,4.403e-9,
454.505166,,3.527e-9,
456.44054,,8.159e-10,
457.934934,,2.942e-9,
458.989759,,6.512e-9,
460.956692,,1.026e-8,
463.723239,,6.892e-10,
465.79009,,3.281e-9,
472.159064,,8.234e-10,
472.686807,,4.279e-9,
473.590548,,4.429e-9,
476.486444,,4.572e-9,
476.8673,3.003e-16,,
480.602014,,8.838e-9,
484.780955,,3.153e-9,
486.591056,,1.208e-9,
487.6261,2.679e-16,,
487.986345,,8.773e-9,
488.7947,2.674e-16,,
488.904194,,6.658e-10,
493.320891,,1.056e-9,
496.507942,,2.729e-9,
500.93342,,1.641e-9,
501.716264,,1.857e-9,
506.0079,2.187e-16,,
506.203703,,1.593e-9,
514.17826,,9.439e-10,
514.530815,,1.086e-9,
516.2285,3.751e-16,,
518.7746,4.523e-16,,
522.127,5.080e-16,,
525.2787,2.409e-16,,
542.1351,1.870e-16,,
549.5873,9.379e-16,,
550.6112,1.549e-16,,
555.8702,4.414e-16,,
557.2541,2.813e-16,,
559.7476,1.747e-16,,
560.6733,4.075e-16,,
565.0704,1.964e-16,,
570.0872,2.452e-16,,
573.9519,2.573e-16,,
583.4264,1.516e-16,,
588.8584,3.768e-16,,
591.2085,1.866e-16,,
592.8812,1.914e-16,,
602.515,1.514e-16,,
603.2127,1.269e-15,,
604.3223,5.878e-16,,
610.5635,3.364e-16,,
611.492319,,1.960e-9,
614.5441,2.937e-16,,
617.0174,1.394e-16,,
617.227751,,1.459e-9,
617.3096,1.871e-16,,
621.2503,1.514e-16,,
621.5939,1.559e-16,,
629.6873,2.430e-16,,
630.7657,1.643e-16,,
641.6307,3.218e-16,,
663.822027,,7.207e-10,
664.369734,,1.563e-9,
668.429254,,8.437e-10,
675.2834,5.137e-16,,
687.1289,4.377e-16,,
693.7664,1.604e-16,,
696.543,1.141e-15,,
703.0251,6.760e-16,,
706.7217,1.116e-15,,
706.8735,3.019e-16,,
720.698,3.608e-16,,
727.2935,3.126e-16,,
731.1716,2.481e-16,,
731.6005,1.376e-16,,
735.33,3.272e-16,,
737.2117,8.325e-16,,
738.398,2.389e-15,,
743.5368,2.155e-16,,
