Wavelength,H I,O I,O II,O III
201.65822,,,2.160e-4,
202.03299,,,5.006e-4,
202.14364,,,2.019e-4,
202.70978,,,2.167e-4,
202.76014,,,2.021e-4,
204.228,,,,5.563e-23
205.008,,,,4.237e-23
206.642,,,,1.529e-23
209.2876,,,9.192e-5,
210.1283,,,1.408e-4,
213.1813,,,6.532e-4,
213.2017,,,3.714e-4,
216.539,,,,9.200e-21
218.2569,,,2.678e-4,
219.0469,,,1.784e-4,
219.5482,,,9.015e-5,
222.816,,,,9.416e-20
222.892,,,,2.307e-23
222.974,,,2.403e-5,
223.283,,,1.681e-5,
223.336,,,,6.875e-23
223.877,,,,1.126e-22
225.2738,,,2.486e-4,
225.963,,,1.007e-4,
228.3444,,,2.226e-4,
228.377,,,,3.697e-23
228.4833,,,3.109e-4,
229.0846,,,2.567e-3,
229.3297,,,5.657e-3,
230.0333,,,1.439e-2,
230.2806,,,2.895e-3,
231.1525,,,,8.224e-21
231.4689,,,,8.291e-21
231.548,,,,4.566e-20
231.7321,,,,2.471e-20
231.9477,,,,1.109e-20
232.5921,,,1.383e-4,
232.7947,,,2.079e-4,
236.514,,,1.827e-4,
237.2215,,,,1.350e-20
237.2831,,,,1.389e-20
237.5719,,,3.230e-4,
237.8891,,,,7.496e-20
238.2292,,,,1.529e-19
238.3918,,,,1.086e-19
239.0432,,,,5.445e-18
240.6376,,,8.406e-4,
240.7477,,,5.826e-4,
241.1597,,,4.699e-4,
241.1644,,,1.033e-4,
241.5126,,,2.063e-4,
241.8459,,,8.891e-4,
242.052,,,,4.714e-25
242.114,,,,3.300e-24
242.5567,,,1.247e-3,
242.59,,,,1.263e-23
242.631,,,,4.137e-24
242.657,,,,1.059e-24
242.692,,,,6.617e-24
242.936,,,,2.489e-24
242.961,,,,3.194e-24
242.969,,,,1.418e-24
243.3542,,,1.886e-2,
243.4918,,,,6.939e-21
243.6056,,,8.076e-4,
243.8814,,,,7.759e-20
244.104,,,,6.713e-24
244.1351,,,,2.321e-21
244.1626,,,1.961e-4,
244.1704,,,,2.290e-21
244.4251,,,3.372e-3,
244.523,,,,3.337e-24
244.5529,,,3.338e-2,
244.693,,,,3.362e-24
245.113,,,,5.963e-25
245.345,,,,3.203e-24
245.424,,,,3.223e-24
245.4966,,,,3.934e-17
245.656,,,,1.071e-24
251.7964,,,3.594e-4,
252.6872,,,2.699e-4,
252.9327,,,,3.285e-21
253.0279,,,5.042e-4,
253.4064,,,,2.603e-20
253.9467,,,,3.194e-21
254.2636,,,,1.472e-20
254.6409,,,,9.611e-21
254.7422,,,,3.279e-21
254.9595,,,,3.184e-21
255.8035,,,,6.397e-20
257.1457,,,2.788e-4,
257.5277,,,4.974e-4,
259.7699,,,,4.737e-20
260.5424,,,,2.810e-20
260.959,,,,9.314e-21
262.2287,,,,5.472e-21
266.5684,,,,1.580e-20
267.458,,,,2.590e-20
267.7813,,,,9.957e-21
268.3658,,,,4.159e-22
268.6154,,,,3.578e-20
268.7547,,,,1.247e-21
269.5477,,,,2.079e-21
270.1035,,,,5.287e-21
272.689,,,,5.760e-24
273.3294,,,6.395e-3,
273.506,,,,3.413e-24
273.909,,,,1.131e-24
274.7367,,,3.206e-3,
277.196,,,,1.774e-22
279.4139,,,,2.573e-19
280.8728,,,2.725e-4,
280.9659,,,,5.694e-19
283.6308,,,,1.039e-18
284.575,,,,3.704e-22
284.893,,,,5.237e-22
285.375,,,,2.538e-22
286.252,,,,4.661e-23
286.26,,,,4.546e-23
288.3856,,3.914e+3,,
295.9695,,,,2.244e-17
298.3781,,,,2.482e-16
299.2081,,,,8.250e-19
299.648,,,,2.476e-18
299.7689,,,,8.432e-19
300.4344,,,,3.764e-18
300.8779,,,,8.130e-19
301.7615,,,,6.550e-18
302.3425,,,,1.169e-16
302.4359,,,,8.223e-19
302.454,,,,9.164e-17
303.4219,,,,1.305e-20
303.5414,,,,6.804e-17
304.2993,,,,9.660e-17
304.71,,,,3.608e-16
305.9277,,,,1.283e-16
306.4975,,,,1.719e-22
306.8129,,,,1.712e-22
306.8667,,,,2.996e-22
307.4138,,,,3.389e-22
307.4715,,,,2.970e-22
307.5129,,,,2.120e-22
307.5954,,,,2.507e-22
307.813,,,,2.780e-22
308.3647,,,,5.876e-22
308.4644,,,,3.348e-22
308.8041,,,,1.237e-21
309.5795,,,,2.469e-22
311.5674,,,,1.762e-18
312.1633,,,,5.278e-18
312.2524,,,4.848e-3,
312.391,,,9.135e-4,
312.934,,,5.805e-3,
313.2794,,,,8.826e-18
313.4213,,,4.565e-3,
313.4726,,,2.122e-2,
313.8337,,,1.130e-2,
313.9678,,,4.533e-3,
