Wavelength,N I,N II,N III,O I,O II,O III
201.65822,,,,,4.748e-4,
202.03299,,,,,1.100e-3,
202.14364,,,,,4.357e-4,
202.70978,,,,,4.676e-4,
202.76014,,,,,4.312e-4,
204.228,,,,,,8.118e+0
204.4761,,1.003e-3,,,,
205.008,,,,,,2.317e+0
206.642,,,,,,2.361e+0
207.6947,,5.295e-4,,,,
207.997,,3.043e-4,,,,
209.1312,,6.505e-4,,,,
209.2876,,,,,2.342e-4,
209.419,,6.471e-4,,,,
209.5529,,3.616e-3,,,,
209.6198,,8.608e-4,,,,
209.6859,,1.934e-3,,,,
210.1283,,,,,3.588e-4,
210.647,,,9.750e+0,,,
210.757,,,1.943e+1,,,
211.652,,,5.927e+0,,,
211.758,,,1.184e+2,,,
212.15,,,1.585e+2,,,
212.257,,,5.872e+0,,,
213.018,,2.639e-3,,,,
213.1813,,,,,1.543e-3,
213.2017,,,,,8.582e-4,
214.402,,,2.007e+1,,,
214.569,,,2.559e+1,,,
214.656,,,2.027e+1,,,
214.692,,,1.964e+1,,,
214.731,,,1.745e+2,,,
214.739,,,3.753e+0,,,
214.785,,,8.992e+1,,,
214.799,,,2.401e+1,,,
214.809,,,1.197e+2,,,
214.851,,,7.849e+1,,,
214.899,,,4.714e+1,,,
214.902,,,4.885e+1,,,
214.945,,,1.871e+1,,,
215.006,,,1.867e+1,,,
215.9927,,9.524e-4,,,,
216.539,,,,,,1.015e+1
218.2569,,,,,5.887e-4,
219.0469,,,,,3.850e-4,
219.5482,,,,,1.923e-4,
219.7506,,5.747e-4,,,,
220.3632,,3.414e-4,,,,
220.6087,,6.084e-4,,,,
222.463,,,3.255e+0,,,
222.816,,,,,,2.653e+1
222.892,,,,,,3.560e+0
222.901,,,6.437e+0,,,
222.974,,,,,3.449e-4,
223.283,,,,,2.402e-4,
223.336,,,,,,1.061e+1
223.722,,,7.704e+0,,,
223.877,,,,,,1.738e+1
224.28,,,8.290e+1,,,
224.441,,,1.239e+2,,,
224.767,,,2.073e+1,,,
224.795,,,1.871e+2,,,
224.893,,,1.036e+2,,,
225.2738,,,,,5.872e-4,
225.963,,,,,2.327e-4,
226.589,,,5.362e+0,,,
226.733,,,3.208e+1,,,
226.932,,,6.552e+0,,,
227.044,,,1.612e+1,,,
227.18,,,4.661e+0,,,
227.188,,,5.311e+0,,,
227.247,,,7.446e+0,,,
227.359,,,6.503e+0,,,
227.414,,,4.659e+0,,,
227.482,,,4.657e+0,,,
228.3444,,,,,3.636e-4,
228.3639,,6.052e-4,,,,
228.377,,,,,,5.395e+0
228.4833,,,,,5.172e-4,
228.6687,,1.807e-3,,,,
228.8405,,4.785e-4,,,,
229.0255,,3.593e-4,,,,
229.0846,,,,,3.303e-4,
229.166,,2.423e-4,,,,
229.2657,,4.779e-4,,,,
229.3297,,,,,7.239e-4,
229.332,,5.957e-4,,,,
230.0333,,,,,1.851e-3,
230.161,,,6.044e+0,,,
230.2806,,,,,3.704e-4,
230.289,,,1.208e+1,,,
230.549,,,1.805e+1,,,
231.1525,,,,,,8.702e+0
231.46,,,8.416e+0,,,
231.4689,,,,,,8.668e+0
231.548,,,,,,4.832e+1
231.6489,,2.021e-3,,,,
231.668,,1.362e-3,,,,
231.7039,,2.922e-3,,,,
231.7321,,,,,,2.584e+1
231.744,,,3.589e+0,,,
231.754,,,3.587e+0,,,
231.9477,,,,,,1.148e+1
231.9947,,2.523e-4,,,,
232.1664,,2.512e-4,,,,
232.226,,,3.295e+0,,,
232.279,,,3.296e+0,,,
232.5921,,,,,2.219e-4,
232.634,,7.821e-4,,,,
232.7947,,,,,3.322e-4,
232.885,,,2.728e+0,,,
233.354,,,4.633e+1,,,
233.49,,,9.244e+1,,,
234.984,,,3.841e+0,,,
235.098,,,3.829e+0,,,
235.255,,,1.095e+1,,,
235.503,,,2.477e+1,,,
235.524,,,4.110e+0,,,
235.796,,,4.140e+1,,,
236.514,,,,,2.521e-4,
236.749,,,7.201e+1,,,
237.056,,,4.779e+1,,,
237.2215,,,,,,9.426e+0
237.253,,,2.380e+1,,,
237.2831,,,,,,9.483e+0
237.5719,,,,,4.457e-4,
237.8891,,,,,,5.055e+1
238.2292,,,,,,1.068e+2
238.3918,,,,,,7.412e+1
239.0432,,,,,,8.537e+1
239.0869,,2.591e-4,,,,
240.6376,,,,,6.438e-4,
240.7477,,,,,7.399e-4,
241.1597,,,,,3.563e-4,
241.1644,,,,,1.749e-4,
241.5126,,,,,3.493e-4,
241.807,,,9.714e+0,,,
241.8459,,,,,1.129e-3,
242.052,,,,,,1.091e+0
242.114,,,,,,7.635e+0
242.327,,,1.375e+1,,,
242.5567,,,,,9.204e-4,
242.59,,,,,,2.922e+1
242.631,,,,,,9.466e+0
242.657,,,,,,2.424e+0
242.692,,,,,,1.514e+1
242.936,,,,,,5.662e+0
242.961,,,,,,7.267e+0
242.969,,,,,,3.225e+0
243.3542,,,,,1.823e-3,
243.4918,,,,,,7.344e+0
243.6056,,,,,5.846e-4,
243.8814,,,,,,4.806e+1
244.104,,,,,,1.553e+1
244.1351,,,,,,2.427e+0
244.1626,,,,,3.158e-4,
244.1704,,,,,,2.423e+0
244.4251,,,,,3.260e-4,
244.523,,,,,,7.720e+0
244.5529,,,,,3.220e-3,
