Wavelength,Xe I,Xe II
396.75405,3.561e-22,
433.052,,3.230e-14
441.482,,1.792e-14
450.0979,3.846e-22,
460.304,,1.138e-14
462.4276,1.042e-21,
467.1226,1.490e-21,
469.7021,3.132e-22,
473.4152,5.769e-22,
480.7019,3.546e-22,
484.3293,2.885e-22,
484.432,,3.013e-14
487.649,,1.400e-14
491.6506,3.902e-22,
492.3151,3.955e-22,
526.044,,2.465e-15
526.198,,8.551e-15
529.221,,1.710e-14
537.239,,4.386e-15
541.914,,1.141e-14
543.897,,4.114e-15
547.261,,2.400e-15
553.106,,1.587e-15
571.96,,1.064e-15
597.642,,3.183e-15
603.619,,1.264e-15
605.115,,2.857e-15
609.757,,2.897e-15
611.1949,2.115e-22,
619.8256,1.999e-22,
627.086,,2.367e-15
627.754,,5.832e-16
648.7765,2.745e-22,
653.3156,1.776e-22,
666.6963,3.098e-22,
680.572,,7.938e-16
686.6842,2.538e-22,
688.2154,2.248e-21,
697.6182,7.257e-22,
699.088,,5.125e-15
704.7366,1.705e-22,
711.9598,4.030e-21,
728.5302,1.064e-21,
738.6004,3.282e-22,
739.3794,1.753e-21,
742.4037,2.195e-22,
744.1938,1.676e-22,
764.2023,3.258e-21,
780.2649,3.394e-22,
788.7393,1.741e-21,
796.7338,5.093e-22,
806.1339,6.230e-22,
820.6335,2.922e-21,
823.1634,7.778e-21,
826.652,2.324e-21,
828.0117,1.973e-21,
834.6823,9.958e-21,
834.746,2.060e-22,
840.9191,4.904e-22,
857.6022,2.446e-22,
862.4216,2.383e-22,
864.8504,3.312e-22,
869.2162,2.473e-22,
881.941,1.077e-20,
893.0837,2.953e-21,
895.2251,2.026e-21,
895.2787,1.563e-22,
904.5448,3.111e-21,
916.2653,3.530e-21,
930.6622,5.441e-22,
979.9699,4.367e-21,
992.319,2.973e-21,
1083.8328,2.285e-22,
1195.1212,1.004e-22,
